"name","key_mlbam","key_bbref","key_fangraphs"
"Brock Stassi",595426,"stassbr01",12244
"Josh Fields",451661,"fieldjo03",5070
"Kevin Quackenbush",534812,"quackke01",12360
"J. P. Arencibia",450317,"arencjp01",697
"Pedro Álvarez",476883,"alvarpe01",2495
"José Fernández",622774,"fernajo04",14733
"Gorkys Hernández",491676,"hernago01",4146
"Peter O'Brien",598284,"obriepe01",13288
"Kevin Jepsen",448178,"jepseke01",6475
"Jake Faria",607188,"fariaja01",13699
"Matt Duffy",592274,"duffyma02",12181
"Pat Neshek",450212,"neshepa01",4682
"David DeJesus",430203,"dejesda01",1825
"Blake Lalli",503351,"lallibl01",9246
"Dae-ho Lee",493193,"leeda02",18722
"Alex Reyes",621052,"reyesal02",15015
"A. J. Jimenez",543362,"jimenaj01",7077
"Kevin McGowan",641850,"mcgowke01",15215
"Carlos Moncrief",519037,"moncrca01",7511
"Will Craig",643269,"craigwi01",19267
"Arquimedes Caminero",491708,"caminar01",8992
"Taylor Teagarden",460003,"teagata01",5199
"Jarred Cosart",543054,"cosarja01",10304
"C. C. Lee",547348,"leech01",5177
"Brandon Guyer",446386,"guyerbr01",2636
"Scott Atchison",425786,"atchisc01",2642
"Hernan Iribarren",454975,"iribahe01",4177
"Geovany Soto",434567,"sotoge01",3707
"Drew Hayes",502457,"hayesdr01",10528
"James Beresford",503437,"beresja01",4626
"Pedro Ciriaco",465674,"ciriape01",5278
"Daniel Corcino",542289,"corcida01",9266
"Nick Rumbelow",592705,"rumbeni01",14867
"Brian Goodwin",571718,"goodwbr01",12858
"Sixto Sánchez",664350,"sanchsi01",19680
"Cole Hamels",430935,"hamelco01",4972
"Luiz Gohara",627894,"goharlu01",15166
"Jerome Williams",425532,"willije01",1137
"Yennsy Díaz",660546,"diazye01",20218
"Lonnie Chisenhall",502082,"chiselo01",7571
"Jesús Sucre",491696,"sucreje01",5942
"Danny Hultzen",543343,"hultzda01",12874
"Justin Williams",642211,"williju02",15490
"Chris Hatcher",501822,"hatchch02",3299
"Jumbo Diaz",471822,"diazju03",3397
"Brandon Phillips",408252,"phillbr01",791
"David Hernandez",456696,"hernada01",4259
"Cody Ross",425496,"rossco01",1760
"Eric Young",458913,"younger03",7158
"Rymer Liriano",542642,"liriary01",4779
"Ben Heller",621294,"hellebe01",15100
"Ronald Herrera",622703,"herrero01",15688
"Adam Conley",543045,"conlead01",14457
"Dean Deetz",657209,"deetzde01",16687
"Chris Gittens",656467,"gittech01",18482
"Joaquin Arias",435078,"ariasjo01",3817
"Joe Beimel",346847,"beimejo01",979
"Nick Ciuffo",624419,"ciuffni01",16291
"Corey Oswalt",621261,"oswalco01",13677
"J. A. Happ",457918,"happja01",7410
"Elian Herrera",467070,"herreel01",5432
"John Danks",433579,"danksjo01",6329
"Curtis Terry",663799,"terrycu01",18881
"Rick Porcello",519144,"porceri01",2717
"Eric Stults",445590,"stulter01",8011
"Chris Reed",607068,"reedch01",12801
"Brian McCann",435263,"mccanbr01",4810
"T. J. House",543334,"housetj01",9121
"Scott McGough",543518,"mcgousc01",12056
"Clint Robinson",519208,"robincl01",6908
"Shawn Tolleson",474521,"tollesh01",10481
"Scooter Gennett",571697,"gennesc01",10339
"Jacob Wilson",607111,"wilsoja04",13254
"José De León",592254,"deleojo03",15463
"Drew Rucinski",607968,"rucindr01",12499
"Randy Wolf",150116,"wolfra02",976
"Christian Colón",518568,"colonch01",11145
"Nick Franklin",545338,"frankni01",10166
"AJ Ramos",573109,"ramosaj01",8350
"Ben Rowen",594985,"rowenbe01",10983
"Pat Venditte",519381,"vendipa01",7108
"A. J. Pierzynski",150229,"pierza.01",746
"Ben Revere",519184,"reverbe01",4712
"Dustin Fowler",641583,"fowledu01",17098
"Taylor Jordan",518863,"jordata01",10466
"Kelly Johnson",430637,"johnske05",2234
"Henry Ramos",592656,"ramoshe01",11481
"Taylor Guilbeau",607555,"guilbta01",18306
"Rhiner Cruz",462480,"cruzrh01",711
"Chris Beck",571476,"beckch02",13418
"Phillippe Aumont",518418,"aumonph01",5362
"Nick Masset",434665,"masseni01",7267
"Ben Paulsen",572019,"paulsbe01",9741
"Tanner Anderson",664196,"anderta01",18029
"Nick Hagadone",444935,"hagadni01",1351
"Ljay Newsome",664714,"newsolj01",19942
"Don Kelly",430603,"kellydo01",2216
"Branden Kline",571858,"klinebr01",14101
"Everth Cabrera",465784,"cabreev01",8155
"John Nogowski",596056,"nogowjo01",16852
"Andrew Stevenson",664057,"stevean01",17932
"Peter Solomon",656981,"solompe01",20476
"Jim Henderson",449104,"hendeji01",6653
"Andrew Toles",592808,"tolesan01",13414
"Josh Rutledge",592710,"rutlejo01",11167
"Yohan Pino",464416,"pinoyo01",6955
"Joey Terdoslavich",519345,"terdojo01",10593
"Logan Schafer",502582,"schaflo01",7937
"Matt Purke",545357,"purkema01",12831
"Andrew Romine",461865,"rominan01",1159
"Jace Fry",605240,"fryja01",16159
"Mike Ohlman",572000,"ohlmami01",10347
"Drew Storen",519322,"storedr01",6983
"Jonathan Broxton",455009,"broxtjo01",4759
"CD Pelham",641962,"pelhacd01",19820
"Jordan Patterson",641958,"pattejo03",15119
"Mike Miller",623166,"millemi01",13891
"Tim Peterson",623402,"peterti01",13946
"Ryon Healy",592387,"healyry01",15447
"Matt Thornton",407819,"thornma01",1918
"Shawn Morimando",596049,"morimsh01",13606
"Jake Thompson",622097,"thompja03",14371
"Daniel Gossett",605254,"gosseda01",16164
"David Carpenter",502304,"carpeda01",3959
"Adrián Sanchez",506703,"sanchad01",11338
"Wilin Rosario",501647,"rosarwi01",8002
"Freddy Galvis",520471,"galvifr01",6609
"Adam Plutko",592644,"plutkad01",15846
"Koda Glover",606983,"gloveko01",17695
"Dylan Axelrod",518420,"axelrdy01",9303
"Ryan Vilade",668723,"viladry01",22165
"Steve Lombardozzi",543459,"lombast02",5422
"Mark Buehrle",279824,"buehrma01",225
"Wes Parsons",641149,"parsowe01",14764
"Óscar Hernández",591712,"hernaos01",13490
"Donnie Veal",453264,"vealdo01",4741
"Taylor Davis",543089,"davista01",12782
"Ivan Castillo",622668,"castiiv01",15971
"Jake Buchanan",594772,"buchaja01",10962
"Ian Thomas",621962,"thomaia01",13881
"Ty Kelly",571841,"kellyty01",7740
"Brock Stewart",592779,"stewabr01",16727
"Billy Burns",542993,"burnsbi02",12701
"Jerry Sands",543742,"sandsje01",4016
"Jorge Oña",671250,"onajo01",20040
"Collin Balester",444446,"balesco01",6883
"Chris Colabello",499624,"colabch01",13051
"Spencer Kieboom",571851,"kiebosp01",13300
"Jonathan Aro",608167,"arojo01",14699
"Ryan Hartman",670057,"hartmry01",19480
"Craig Gentry",502226,"gentrcr01",9571
"Raudel Lazo",612272,"lazora01",14077
"Isaac Galloway",543194,"gallois01",5238
"Matt Garza",490063,"garzama01",3340
"Aaron Hill",431094,"hillaa01",6104
"Johnny Field",608654,"fieldjo04",15048
"Branden Pinder",572038,"pindebr01",12093
"Rubén Tejada",514913,"tejadru01",5519
"Andre Ethier",444843,"ethiean01",6265
"Vance Worley",474699,"worleva01",6435
"Sean Kazmar",453527,"kazmase01",7349
"Dustin Peterson",640460,"peterdu01",15189
"Tayron Guerrero",594027,"guerrta01",11691
"Carter Capps",605169,"cappsca01",12803
"Neftalí Feliz",491703,"felizne01",18
"Fernando Rodriguez",451775,"rodrife02",7558
"David Ortiz",120074,"ortizda01",745
"Shaun Marcum",451788,"marcush01",6204
"Chase Whitley",595032,"whitlch01",10982
"Jason Rogers",595386,"rogerja02",11773
"Tim Melville",543532,"melviti01",9149
