"name","key_mlbam","key_bbref"
"Chris Reed",607068,"reedch01"
"Brian McCann",435263,"mccanbr01"
"T. J. House",543334,"housetj01"
"Scott McGough",543518,"mcgousc01"
"Clint Robinson",519208,"robincl01"
"Shawn Tolleson",474521,"tollesh01"
"Scooter Gennett",571697,"gennesc01"
"Jacob Wilson",607111,"wilsoja04"
"José De León",592254,"deleojo03"
"Drew Rucinski",607968,"rucindr01"
"Randy Wolf",150116,"wolfra02"
"Christian Colón",518568,"colonch01"
"Nick Franklin",545338,"frankni01"
"AJ Ramos",573109,"ramosaj01"
"Ben Rowen",594985,"rowenbe01"
"Pat Venditte",519381,"vendipa01"
"A. J. Pierzynski",150229,"pierza.01"
"Ben Revere",519184,"reverbe01"
"Dustin Fowler",641583,"fowledu01"
"Taylor Jordan",518863,"jordata01"
"Kelly Johnson",430637,"johnske05"
"Henry Ramos",592656,"ramoshe01"
"Taylor Guilbeau",607555,"guilbta01"
"Rhiner Cruz",462480,"cruzrh01"
"Chris Beck",571476,"beckch02"
"Phillippe Aumont",518418,"aumonph01"
"Nick Masset",434665,"masseni01"
"Ben Paulsen",572019,"paulsbe01"
"Tanner Anderson",664196,"anderta01"
"Nick Hagadone",444935,"hagadni01"
"Ljay Newsome",664714,"newsolj01"
"Don Kelly",430603,"kellydo01"
"Branden Kline",571858,"klinebr01"
"Everth Cabrera",465784,"cabreev01"
"John Nogowski",596056,"nogowjo01"
"Andrew Stevenson",664057,"stevean01"
"Peter Solomon",656981,"solompe01"
"Jim Henderson",449104,"hendeji01"
"Andrew Toles",592808,"tolesan01"
"Josh Rutledge",592710,"rutlejo01"
"Yohan Pino",464416,"pinoyo01"
"Joey Terdoslavich",519345,"terdojo01"
"Logan Schafer",502582,"schaflo01"
"Matt Purke",545357,"purkema01"
"Andrew Romine",461865,"rominan01"
"Jace Fry",605240,"fryja01"
"Mike Ohlman",572000,"ohlmami01"
"Drew Storen",519322,"storedr01"
"Jonathan Broxton",455009,"broxtjo01"
"CD Pelham",641962,"pelhacd01"
"Jordan Patterson",641958,"pattejo03"
"Mike Miller",623166,"millemi01"
"Tim Peterson",623402,"peterti01"
"Ryon Healy",592387,"healyry01"
"Matt Thornton",407819,"thornma01"
"Shawn Morimando",596049,"morimsh01"
"Jake Thompson",622097,"thompja03"
"Daniel Gossett",605254,"gosseda01"
"David Carpenter",502304,"carpeda01"
"Adrián Sanchez",506703,"sanchad01"
"Wilin Rosario",501647,"rosarwi01"
"Freddy Galvis",520471,"galvifr01"
"Adam Plutko",592644,"plutkad01"
"Koda Glover",606983,"gloveko01"
"Dylan Axelrod",518420,"axelrdy01"
"Ryan Vilade",668723,"viladry01"
"Steve Lombardozzi",543459,"lombast02"
"Mark Buehrle",279824,"buehrma01"
"Wes Parsons",641149,"parsowe01"
"Óscar Hernández",591712,"hernaos01"
"Donnie Veal",453264,"vealdo01"
"Taylor Davis",543089,"davista01"
"Ivan Castillo",622668,"castiiv01"
"Jake Buchanan",594772,"buchaja01"
"Ian Thomas",621962,"thomaia01"
"Ty Kelly",571841,"kellyty01"
"Brock Stewart",592779,"stewabr01"
"Billy Burns",542993,"burnsbi02"
"Jerry Sands",543742,"sandsje01"
"Jorge Oña",671250,"onajo01"
"Collin Balester",444446,"balesco01"
"Chris Colabello",499624,"colabch01"
"Spencer Kieboom",571851,"kiebosp01"
"Jonathan Aro",608167,"arojo01"
"Ryan Hartman",670057,"hartmry01"
"Craig Gentry",502226,"gentrcr01"
"Raudel Lazo",612272,"lazora01"
"Isaac Galloway",543194,"gallois01"
"Matt Garza",490063,"garzama01"
"Aaron Hill",431094,"hillaa01"
"Johnny Field",608654,"fieldjo04"
"Branden Pinder",572038,"pindebr01"
"Rubén Tejada",514913,"tejadru01"
"Andre Ethier",444843,"ethiean01"
"Vance Worley",474699,"worleva01"
"Sean Kazmar",453527,"kazmase01"
"Dustin Peterson",640460,"peterdu01"
"Tayron Guerrero",594027,"guerrta01"
"Carter Capps",605169,"cappsca01"
"Neftalí Feliz",491703,"felizne01"
"Fernando Rodriguez",451775,"rodrife02"
"David Ortiz",120074,"ortizda01"
"Shaun Marcum",451788,"marcush01"
"Chase Whitley",595032,"whitlch01"
"Jason Rogers",595386,"rogerja02"
"Tim Melville",543532,"melviti01"
"Adalberto Mejía",606167,"mejiaad01"
"Jason Bourgeois",430652,"bourgja01"
"Darnell Sweeney",572182,"sweenda02"
"Konner Wade",592831,"wadeko01"
"Scott Hurst",656568,"hurstsc01"
"Oliver Drake",543118,"drakeol01"
"Keury Mella",622492,"mellake01"
"Mauricio Cabrera",606291,"cabrema01"
"Ben Zobrist",450314,"zobribe01"
"Andrew Cashner",488768,"cashnan01"
"C. J. Riefenhauser",592677,"riefecj01"
"Mike Zagurski",489448,"zagurmi01"
"Gerardo Concepción",615868,"concege01"
"Bud Norris",502032,"norribu01"
"Angel Perdomo",622780,"perdoan01"
"Garin Cecchini",594555,"cecchga01"
"Tyrell Jenkins",592433,"jenkity01"
"Cole Gillespie",502261,"gilleco01"
"Scott Schebler",594988,"schebsc01"
"Ramón Rosso",665759,"rossora01"
"Fernando Tatís",665487,"tatisfe02"
"Brandon Mann",448167,"mannbr01"
"Peter Bourjos",488721,"bourjpe01"
"Seth Frankoff",571676,"frankse01"
"Ryan Jackson",474249,"jacksry02"
"Jon Duplantier",641541,"duplajo01"
"Ryan Feierabend",456387,"feierry01"
"Phil Hughes",461833,"hugheph01"
"Matt Ramsey",543677,"ramsema01"
"Jake Rogers",668670,"rogerja03"
"Blaine Hardy",543278,"hardybl01"
"Zach Green",608339,"greenza01"
"Kent Emanuel",592288,"emanuke01"
"Max Moroff",621559,"morofma01"
"Humberto Mejía",650668,"mejiahu01"
"Howie Kendrick",435062,"kendrho01"
"Ricardo Sanchez",645307,"sanchri01"
"John Hicks",543308,"hicksjo02"
"Emmanuel Burriss",502034,"burriem01"
"Mike Napoli",435063,"napolmi01"
"Chad Girodo",643325,"girodch01"
"Ariel Jurado",642558,"juradar01"
"Seth Mejias-Brean",623180,"mejiase01"
"Stephen Cardullo",506924,"cardust01"
"Delmon Young",430321,"youngde03"
"Yunel Escobar",488862,"escobyu01"
"Albert Suárez",544150,"suareal01"
"Tommy Joseph",571830,"josepto01"
"Dan Jennings",543359,"jennida01"
"Al Alburquerque",456379,"albural01"
"Seth Rosin",519229,"rosinse01"
"Dawel Lugo",608475,"lugoda01"
"Andrew Triggs",592811,"triggan01"
"Chad Huffman",502151,"huffmch01"
"Adam Morgan",605388,"morgaad01"
"Stevie Wilkerson",592859,"wilkest01"
"Jeremy Hazelbaker",571757,"hazelje01"
"Kyle McGrath",657681,"mcgraky01"
"Troy Tulowitzki",453064,"tulowtr01"
"Scott Feldman",444857,"feldmsc01"
"Steve Delabar",447755,"delabst01"
"Chris Johnson",453400,"johnsch05"
"Ryan Strausborger",595005,"straury01"
"Mike Montgomery",543557,"montgmi01"
"Jack Reinheimer",595373,"reinhja01"
"Abel De Los Santos",593582,"delosab01"
"Stuart Turner",642156,"turnest01"
"Montana DuRapau",657566,"durapmo01"
"O'Koyea Dickson",607297,"dicksok01"
"Allen Craig",501800,"craigal01"
"Danny Duffy",518633,"duffyda01"
"Adam McCreery",607030,"mccread01"
"Ian Kinsler",435079,"kinslia01"
"Dan Winkler",595465,"winklda01"
"Scott Diamond",539438,"diamosc01"
"Greg Mahle",657670,"mahlegr01"
"Tom Wilhelmsen",452666,"wilheto01"
"Fernando Abad",472551,"abadfe01"
"John Gant",607231,"gantjo01"
"Taylor Cole",518566,"coleta01"
"Travis Taijeron",607369,"taijetr01"
"Shed Long",643418,"longsh01"
"Zac Curtis",657205,"curtiza01"
"Jaff Decker",543094,"deckeja01"
"Michael Cuddyer",150212,"cuddymi01"
"DJ Johnson",597113,"johnsdj01"
"Brandon Moss",461235,"mossbr01"
"Luis Valbuena",472528,"valbulu01"
"Chih-Wei Hu",629496,"huch02"
"Shin-Soo Choo",425783,"choosh01"
"Santiago Casilla",433586,"garcija01"
"J. J. Hardy",429666,"hardyjj01"
"Kristopher Negrón",502117,"negrokr01"
"Zach Walters",595025,"walteza01"
"Matt Hague",518755,"haguema01"
"Mark Zagunis",657145,"zagunma01"
"Josh James",657624,"jamesjo02"
"James Loney",425766,"loneyja01"
"Joe Mauer",408045,"mauerjo01"
"Ryan Madson",425492,"madsory01"
"Rob Scahill",543746,"scahiro01"
"Ryan Hanigan",452672,"hanigry01"
"Elliot Soto",519303,"sotoel01"
"Ervin Santana",429722,"santaer01"
"Austin Bibens-Dirkx",502212,"bibenau01"
"Eric Yardley",642233,"yardler01"
"Franklyn Kilome",642584,"kilomfr01"
"Aaron Blair",594760,"blairaa01"
"Francisco Arcia",516472,"arciafr01"
"Brady Rodgers",572086,"rodgebr01"
"Matt Stites",592781,"stitema01"
"Adam Liberatore",571893,"liberad01"
"Andy Parrino",519107,"parrian01"
"Miguel Aguilar",620396,"aguilmi01"
"Kirk Nieuwenhuis",543590,"nieuwki01"
"Jayson Aquino",593969,"aquinja01"
"Oswaldo Arcia",542455,"arciaos01"
"Matt Magill",543483,"magilma01"
"CC Sabathia",282332,"sabatc.01"
"Nick Goody",580792,"goodyni01"
"Kaleb Cowart",592230,"cowarka01"
"Trevor Oaks",656805,"oakstr01"
"Marc Rzepczynski",519240,"rzepcma01"
"Jefry Rodriguez",622446,"rodrije01"
"Hunter Wood",621056,"woodhu01"
"Andrés Blanco",433217,"blancan01"
"Carlos Torres",448614,"torreca01"
"Tyler Olson",621397,"olsonty01"
"Mayckol Guaipe",515052,"guaipma01"
"Matt Joyce",459964,"joycema01"
"Mitch Harris",518771,"harrimi03"
"Chin-hui Tsao",425835,"tsaoch01"
"Jonathan Holder",656547,"holdejo02"
"Jarrod Saltalamacchia",457454,"saltaja01"
"Ramón Cabrera",541608,"cabrera01"
"David Rollins",543716,"rollida01"
"Carl Crawford",408307,"crawfca02"
"Eric Fryer",518700,"fryerer01"
"Wei-Yin Chen",612672,"chenwe02"
"Scott Oberg",623184,"obergsc01"
"Hans Crouse",668968,"crousha01"
"Ryan Dorow",676900,"dorowry01"
"Carlos González",471865,"gonzaca01"
"Drew Pomeranz",519141,"pomerdr01"
"Dan Butler",576788,"butleda01"
"Michael Brady",572728,"bradymi01"
"Adam Moore",446192,"mooread01"
"Phil Ervin",640447,"ervinph01"
"Ricardo Pinto",620982,"pintori01"
"Damien Magnifico",571911,"magnida01"
"Wade LeBlanc",453281,"leblawa01"
"Dan Robertson",543706,"roberda09"
"Brooks Pounders",572044,"poundbr01"
"David Freese",501896,"freesda01"
"Chris Smith",627262,"smithch10"
"Jairo Labourt",607951,"labouja01"
"Colin Walsh",595023,"walshco02"
"Henry Urrutia",625329,"urruthe01"
"Caleb Cotham",571584,"cothaca01"
"Carlos Pérez",542208,"perezca02"
"Luis Alexander Basabe",642772,"basablu01"
"Matt Wieters",446308,"wietema01"
"Caleb Frare",621350,"frareca01"
"Cody Asche",605125,"ascheco01"
"Victor Martinez",400121,"martivi01"
"Luis Escobar",650813,"escoblu01"
"Evan Scribner",519267,"scribev01"
"J. J. Hoover",543331,"hoovejj01"
"Felipe Vázquez",553878,"riverfe01"
"Wesley Wright",449079,"wrighwe01"
"Aaron Harang",421685,"haranaa01"
"Julio Teheran",527054,"teherju01"
"Wyatt Mathisen",621500,"mathiwy01"
"Jimmy Nelson",519076,"nelsoji02"
"Mike Aviles",449107,"avilemi01"
"Kyle Parker",592621,"parkeky01"
"Chance Sisco",642082,"siscoch01"
"Alan Busenitz",641427,"busenal01"
"Domonic Brown",502126,"browndo01"
"Ryan Cordell",641477,"cordery01"
"Felix Jorge",602928,"jorgefe01"
"Brian Schlitter",489295,"schlibr01"
"Trevor Brown",623143,"browntr01"
"Josh Smith",605479,"smithjo08"
"Ryan Sherriff",595411,"sherrry01"
"Justin Garza",621057,"garzaju01"
"Kyuji Fujikawa",493117,"fujikky01"
"Ty Tice",676709,"ticety01"
"Matt Andriese",542882,"andrima01"
"Ramón Torres",593527,"torrera01"
"Keyvius Sampson",572102,"sampske01"
"Chris Rodriguez",669735,"rodrich01"
"Richard Rodríguez",593144,"rodriri05"
"Sergio Santos",435045,"santose01"
"Allen Córdoba",642707,"cordoal01"
"Corey Ray",641999,"rayco01"
"Michael Ynoa",573589,"ynoami01"
"Kevin Correia",429781,"correke01"
"José Osuna",591741,"osunajo01"
"Wilfredo Tovar",541600,"tovarwi01"
"Deck McGuire",592547,"mcguide02"
"Félix Hernández",433587,"hernafe02"
"Conner Greene",641632,"greenco01"
"Jordy Mercer",474568,"mercejo03"
"Sócrates Brito",593647,"britoso01"
"Kenny Roberts",594977,"roberke02"
"Alec Bettinger",676424,"bettial01"
"Chris Parmelee",476633,"parmech01"
"Brandon Gomes",460156,"gomesbr01"
"Brian Flynn",543169,"flynnbr01"
"Brandon Finnegan",605232,"finnebr01"
"Chris Dominguez",458689,"dominch01"
"Trevor Hildenberger",657610,"hildetr01"
"Jake Esch",605222,"eschja01"
"Cory Luebke",458537,"luebkco01"
"Jeremy Jeffress",502026,"jeffrje01"
"Roberto Osuna",532077,"osunaro01"
"Daniel Castro",593495,"castrda01"
"Radhames Liz",467785,"lizra01"
"Asher Wojciechowski",592879,"wojcias01"
"Aaron Slegers",642083,"slegeaa01"
"Josh Smith",595001,"smithjo07"
"Tony Barnette",501817,"barneto01"
"Chad Bettis",518452,"bettich01"
"Kevin Chapman",502087,"chapmke02"
"Drew Gagnon",543193,"gagnodr01"
"Brian Bogusevic",460131,"bogusbr01"
"Cody Ege",643297,"egeco01"
"Joey Gerber",680702,"gerbejo01"
"Allan Dykstra",488852,"dykstal01"
"Bernardo Flores",641576,"florebe01"
"Andrew Albers",452027,"alberan01"
"Chad Sobotka",656977,"sobotch01"
"Taylor Guerrieri",605260,"guerrta02"
"Cedric Hunter",501986,"huntece01"
"Nori Aoki",493114,"aokino01"
"Scott Van Slyke",475100,"vanslsc01"
"Mike Marjama",605357,"marjami01"
"Gordon Beckham",493596,"beckhgo01"
"Joe Biagini",607352,"biagijo01"
"Rookie Davis",606959,"davisro03"
"Sam Gaviglio",543208,"gavigsa01"
"C. J. Wilson",450351,"wilsocj01"
"Zack Cozart",446359,"cozarza01"
"Alfredo González",554054,"gonzaal04"
"Alex Blandino",607468,"blandal01"
"Greg Infante",500872,"infangr01"
"Brandon Dickson",505447,"dicksbr01"
"Eduardo Paredes",622161,"pareded01"
"Noel Cuevas",571595,"cuevano01"
"Emilio Bonifácio",466988,"bonifem01"
"Nick Gardewine",643320,"gardeni01"
"Simon Castro",501563,"castrsi01"
"Cody Hall",595235,"hallco01"
"Tyler Lyons",544928,"lyonsty01"
"Andre Scrubb",668687,"scruban01"
"Miguel Montero",471083,"montemi01"
"Ryan Kelly",502462,"kellyry01"
"JB Shuck",543776,"shuckja01"
"Mason Williams",592863,"willima10"
"Dylan Covey",592229,"coveydy01"
"Mikie Mahtook",543484,"mahtomi01"
"Danny Ortiz",543611,"ortizda02"
"DJ Peters",656847,"peterdj01"
"J. D. Hammer",670456,"hammejd01"
"José Ramírez",542432,"ramirjo02"
"Alex Gordon",460086,"gordoal01"
"Darren McCaughan",670766,"mccauda01"
"Carlos Ramirez",570702,"ramirca01"
"Kean Wong",642221,"wongke01"
"Jeff Samardzija",502188,"samarje01"
"Gavin Cecchini",608325,"cecchga02"
"D. J. Snelten",592769,"sneltdj01"
"Tommy Doyle",656382,"doyleto01"
"Craig Breslow",444520,"breslcr01"
"Justin Nicolino",592593,"nicolju01"
"Francis Martes",642564,"martefr01"
"Brock Holt",571788,"holtbr01"
"David Aardsma",430911,"aardsda01"
"Junior Guerra",448855,"guerrju02"
"Marcus Walden",519393,"waldema01"
"Shane Robinson",453203,"robinsh01"
"John Lackey",407793,"lackejo01"
"Shogo Akiyama",673451,"akiyash01"
"Adeiny Hechavarria",588751,"hechaad01"
"Chris Gimenez",460269,"gimench01"
"Caleb Baragar",670056,"baragca01"
"Patrick Kivlehan",623182,"kivlepa01"
"Sam Deduno",465679,"dedunsa01"
