"playerid","season","mean_pLI","mean_inLI","mean_gmLI","max_pLI","max_inLI","max_gmLI"
3196,2017,0.487510726388012,0.382602379790374,0.415685722870486,2.47749996185303,1.4706699848175,0.870000004768372
4684,2015,0.469306214646037,0.354684578387865,0.444371435392116,2.12940001487732,1.57920002937317,2.32520008087158
2873,2018,0.60877772492285,0.559450659041221,0.606623083209762,2.87333011627197,3.67799997329712,3.67799997329712
2873,2016,2.1648489344084,1.89674258334262,2.18476775030215,5.52419996261597,3.83319997787476,5.40000009536743
2873,2015,1.67086459245922,1.38179954594529,1.63933730848245,4.39048004150391,3.58719992637634,6.32840013504028
4020,2016,0.902355145921724,0.833338809587682,0.89101668760284,3.93067002296448,2.3296000957489,3.07100009918213
6166,2015,1.2473815237417,1.15692247058216,1.30210526052274,3.21779990196228,2.3199999332428,3.3199999332428
8245,2016,0.624442174492287,0.490052612090949,0.63052812879323,2.34675002098083,2.25760006904602,2.25760006904602
8245,2017,0.942435771459714,0.507893757370766,0.961237516952679,5.66760015487671,2.83380007743835,5.66760015487671
8245,2015,1.25528994231986,0.883643535696543,1.27579999772402,5.13380002975464,2.74920010566711,4.98000001907349
7267,2015,1.27597635381556,1.02927752483603,1.3239571496046,5.11840009689331,2.55920004844666,5.11840009689331
4544,2016,0.11236344720237,0.119943076046184,0.163015384012117,0.34688600897789,0.406560003757477,0.545199990272522
8258,2017,0.183765076100826,0.171249996870756,0.171249996870756,0.397560000419617,0.282799988985062,0.282799988985062
8258,2016,1.43431037001742,1.27418075580723,1.28504614496174,5.01183986663818,3.42199993133545,3.42199993133545
3840,2018,1.26558309211396,0.968413887545466,1.22370277221004,4.77199983596802,2.38599991798401,4.77199983596802
3840,2017,1.05547852703819,0.746330850861139,1.14511110944053,5.11780023574829,2.69939994812012,5.39879989624023
3840,2019,0.890781176369637,0.635323239707698,0.917960009227196,2.53600001335144,1.81719994544983,2.89079999923706
4734,2015,0.601567565530006,0.410904780828527,0.613342853795205,2.95219993591309,2.21479988098145,2.21479988098145
5861,2015,1.37891200815507,1.11891047316685,1.34250526195555,4.04823017120361,3.4028000831604,3.76399993896484
5861,2017,0.829032700787217,0.613721015437952,0.884956512640676,5.14279985427856,2.57139992713928,5.14279985427856
5861,2016,0.87956178865085,0.835593338807424,0.920640005792181,2.74860000610352,3.05159997940063,3.05159997940063
7474,2015,0.357570813503116,0.352320818114094,0.429480001446791,1.85440003871918,2.32240009307861,2.32240009307861
7474,2016,0.461241610193004,0.27066849792997,0.425788885499868,3.17919993400574,1.27359998226166,2.54719996452332
6883,2015,0.524154548641915,0.469679999165237,0.490959998778999,2.25407004356384,2.20959997177124,2.20959997177124
2391,2016,1.42222330517015,1.39360185617719,1.43401481861387,5.73332023620605,3.49079990386963,4.26900005340576
4363,2017,0.55300259164761,0.369993677966901,0.550508099885003,3.28430008888245,1.72119998931885,2.4728000164032
4363,2016,0.975828101858497,0.783824666589499,0.89129333284994,3.93499994277954,2.27999997138977,3.26999998092651
1351,2015,0.745061840189414,0.666699998934443,0.865000012641152,3.47499990463257,3.74667000770569,6.3600001335144
7355,2015,1.23422228827743,1.00963542169969,1.20460417426269,4.19926977157593,2.47359991073608,4.3568000793457
9943,2015,0.422352436663849,0.377396244023527,0.576428568788937,1.35713005065918,1.10926997661591,2.0789999961853
9948,2018,0.761204153299332,0.52857068374753,0.658648000508547,2.48060011863708,2.48060011863708,2.48060011863708
9948,2017,1.04139531621545,0.78292066886035,1.06737057686619,4.69399976730347,2.51119995117188,4.69399976730347
9948,2019,1.09700336413724,0.727196427328246,1.14357857086829,3.47320008277893,1.81260001659393,3.47320008277893
9948,2016,1.06949496958587,0.866030785072522,1.16950588183952,4.69000005722046,2.34500002861023,4.69000005722046
9948,2015,1.40017471778103,1.10821259839253,1.49840555464228,5.01679992675781,2.69659996032715,5.3931999206543
9939,2018,1.19939639489832,1.08571479932538,1.2561828520149,5.17439985275269,2.87140011787415,5.17439985275269
9939,2015,0.664937330675977,0.496309575491718,0.61034286607589,3.15100002288818,2.2228000164032,2.2228000164032
9939,2016,1.33783606715776,1.19265832924457,1.25778518175637,5.73680019378662,3.56100010871887,3.56100010871887
